BrokerID,BrokerName,ClientID,ClientName,ClientAlternate,EIN,BillingStartDate,Active,ClientDivisionID,ClientDivisionName,DivisionName
67,# BROKER ADMIN,404,"3B Inspection Services, LLC",BEN93BINS,813014937,20170801,Active,582,,"3B Inspection Services, LLC"
67,# BROKER ADMIN,951,AACRAO,BENAACRAO,522274900,20201201,Active,1372,,AACRAO
67,# BROKER ADMIN,996,Abilities of Northwest Jersey Inc.,BEN9AONWJ,222053518,20210101,Active,1529,,Abilities of Northwest Jersey Inc.
67,# BROKER ADMIN,1152,Ace Atlas Corp,BENACEATL,112234414,20210501,Active,1913,,Ace Atlas Corp
67,# BROKER ADMIN,1151,Ace Atlas Plumbing and Heating Corp,BEN9ACEPH,812197506,20210501,Active,1912,,Ace Atlas Plumbing and Heating Corp
67,# BROKER ADMIN,1184,Ace Hotel New York,BENACEHOT,262205148,20210601,Active,1974,,Ace Hotel New York
67,# BROKER ADMIN,954,Acordis International,BEN9ACORD,223938023,20201101,Active,1375,,Acordis International
67,# BROKER ADMIN,1244,Adjust Your Set,BENADJUST,300953444,20210901,Active,2078,,Adjust Your Set
67,# BROKER ADMIN,811,"Adopt a Family of The Palm Beaches, Inc. TERM EFF 11/30/2021",BEN9ADOPT,592471253,20191201,Active,1187,,"Adopt a Family of The Palm Beaches, Inc."
67,# BROKER ADMIN,450,AdTheorent,BENADTHE,454058936,20171201,Active,644,,Ad Ops
67,# BROKER ADMIN,450,AdTheorent,BENADTHE,454058936,20171201,Active,636,,"AdTheorent, Inc."
67,# BROKER ADMIN,450,AdTheorent,BENADTHE,454058936,20171201,Active,647,,Baro
67,# BROKER ADMIN,450,AdTheorent,BENADTHE,454058936,20171201,Active,641,,BI
67,# BROKER ADMIN,450,AdTheorent,BENADTHE,454058936,20171201,Active,1661,,Corp
67,# BROKER ADMIN,450,AdTheorent,BENADTHE,454058936,20171201,Active,645,,Creative
67,# BROKER ADMIN,450,AdTheorent,BENADTHE,454058936,20171201,Active,637,,CS
67,# BROKER ADMIN,450,AdTheorent,BENADTHE,454058936,20171201,Active,651,,D&A
67,# BROKER ADMIN,450,AdTheorent,BENADTHE,454058936,20171201,Active,1439,,Direct
67,# BROKER ADMIN,450,AdTheorent,BENADTHE,454058936,20171201,Active,2061,,DS
67,# BROKER ADMIN,450,AdTheorent,BENADTHE,454058936,20171201,Active,646,,G&A
67,# BROKER ADMIN,450,AdTheorent,BENADTHE,454058936,20171201,Active,1291,,ISO
67,# BROKER ADMIN,450,AdTheorent,BENADTHE,454058936,20171201,Active,640,,Mktg
67,# BROKER ADMIN,450,AdTheorent,BENADTHE,454058936,20171201,Active,1440,,Partner
67,# BROKER ADMIN,450,AdTheorent,BENADTHE,454058936,20171201,Active,650,,Product
67,# BROKER ADMIN,450,AdTheorent,BENADTHE,454058936,20171201,Active,1939,,Rev Ops
67,# BROKER ADMIN,450,AdTheorent,BENADTHE,454058936,20171201,Active,638,,Sales
67,# BROKER ADMIN,450,AdTheorent,BENADTHE,454058936,20171201,Active,649,,Strategy
67,# BROKER ADMIN,450,AdTheorent,BENADTHE,454058936,20171201,Active,2136,,Sym
67,# BROKER ADMIN,450,AdTheorent,BENADTHE,454058936,20171201,Active,639,,Tech
